50

16
0.0 20.8
53.8 19.8
59.9 0.9
129.5 0.0
141.4 23.1
137.3 376.3
164.8 429.9
131.4 474.6
99.3 447.6
85.2 456.0
121.4 497.7
140.1 497.4
139.9 544.2
116.9 556.8
36.7 546.7
14.5 520.1

16
0.0 20.8
53.8 19.8
59.9 0.9
129.5 0.0
141.4 23.1
137.3 376.3
164.8 429.9
131.4 474.6
99.3 447.6
85.2 456.0
121.4 497.7
140.1 497.4
139.9 544.2
116.9 556.8
36.7 546.7
14.5 520.1

16
0.0 20.8
53.8 19.8
59.9 0.9
129.5 0.0
141.4 23.1
137.3 376.3
164.8 429.9
131.4 474.6
99.3 447.6
85.2 456.0
121.4 497.7
140.1 497.4
139.9 544.2
116.9 556.8
36.7 546.7
14.5 520.1

16
0.0 20.8
53.8 19.8
59.9 0.9
129.5 0.0
141.4 23.1
137.3 376.3
164.8 429.9
131.4 474.6
99.3 447.6
85.2 456.0
121.4 497.7
140.1 497.4
139.9 544.2
116.9 556.8
36.7 546.7
14.5 520.1

11
5.1 184.6
0.0 23.2
123.7 0.0
134.1 23.7
130.1 547.1
111.3 597.1
61.6 597.7
45.6 573.6
58.1 557.6
49.3 241.6
9.0 210.9

11
5.1 184.6
0.0 23.2
123.7 0.0
134.1 23.7
130.1 547.1
111.3 597.1
61.6 597.7
45.6 573.6
58.1 557.6
49.3 241.6
9.0 210.9

11
5.1 184.6
0.0 23.2
123.7 0.0
134.1 23.7
130.1 547.1
111.3 597.1
61.6 597.7
45.6 573.6
58.1 557.6
49.3 241.6
9.0 210.9

11
5.1 184.6
0.0 23.2
123.7 0.0
134.1 23.7
130.1 547.1
111.3 597.1
61.6 597.7
45.6 573.6
58.1 557.6
49.3 241.6
9.0 210.9

17
6.3 644.2
20.9 118.2
0.0 77.7
0.0 25.8
123.1 0.0
148.8 26.7
138.0 236.2
157.6 285.2
142.7 317.7
158.5 387.1
123.9 405.3
124.9 592.3
148.6 600.0
148.8 648.0
93.0 653.3
88.6 675.8
16.9 675.0

17
6.3 644.2
20.9 118.2
0.0 77.7
0.0 25.8
123.1 0.0
148.8 26.7
138.0 236.2
157.6 285.2
142.7 317.7
158.5 387.1
123.9 405.3
124.9 592.3
148.6 600.0
148.8 648.0
93.0 653.3
88.6 675.8
16.9 675.0

17
